App,Category,Reviews,Size,Installs,IsFree,Price,Age,Genre,Last_Updated,Current_Ver,Android_Ver,Rating,Size_MB,Last_Updated_Year,Version,Min_Android,Is_Free,Category_Code,Price_Code,Genre_Code
Best Car Wallpapers,AUTO_AND_VEHICLES,994,2.9M,100000.0,Free,0,Everyone,Auto & Vehicles,27-Mar-18,1.6,4.1 and up,4.5,2.9,2018.0,1.6,4.1,1,2,0,14
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,197136,38M,1000000.0,Free,0,Everyone,Auto & Vehicles,15-Jul-18,8.31,4.1 and up,4.9,38.0,2018.0,8.31,4.1,1,2,0,14
Pick Your Part Garage,AUTO_AND_VEHICLES,142,32M,50000.0,Free,0,Everyone,Auto & Vehicles,24-Jul-18,1.1.5.0,6.0 and up,3.9,32.0,2018.0,1.1,6.0,1,2,0,14
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,5414,18M,1000000.0,Free,0,Everyone,Auto & Vehicles,23-Jul-18,3.20.1,4.4 and up,3.7,18.0,2018.0,3.2,4.4,1,2,0,14
BEST CAR SOUNDS,AUTO_AND_VEHICLES,348,38M,100000.0,Free,0,Everyone,Auto & Vehicles,29-Jul-18,1.0.3,2.3 and up,4.3,38.0,2018.0,1.0,2.3,1,2,0,14
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,250,1.1M,100000.0,Free,0,Everyone,Auto & Vehicles,27-Apr-18,1.4,4.0.3 and up,3.2,1.1,2018.0,1.4,4.0,1,2,0,14
SMS Park,AUTO_AND_VEHICLES,3617,7.9M,100000.0,Free,0,Everyone,Auto & Vehicles,16-May-18,2.8.2,4.1 and up,4.5,7.9,2018.0,2.8,4.1,1,2,0,14
SKencar,AUTO_AND_VEHICLES,4806,35M,1000000.0,Free,0,Everyone,Auto & Vehicles,31-Jul-18,4.0.3,4.0.3 and up,3.7,35.0,2018.0,4.0,4.0,1,2,0,14
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,1754,14M,500000.0,Free,0,Everyone,Auto & Vehicles,2-Jun-18,2.3.4,4.0 and up,4.0,14.0,2018.0,2.3,4.0,1,2,0,14
Hush - Beauty for Everyone,BEAUTY,18900,17M,500000.0,Free,0,Everyone,Beauty,2-Aug-18,6.10.1,5.0 and up,4.7,17.0,2018.0,6.1,5.0,1,3,0,15
"ipsy: Makeup, Beauty, and Tips",BEAUTY,49790,14M,1000000.0,Free,0,Everyone,Beauty,9-Nov-17,2.3.0,4.1 and up,4.9,14.0,2017.0,2.3,4.1,1,3,0,15
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,1739,21M,500000.0,Free,0,Everyone,Beauty,12-Jul-18,1.0.6,4.0.3 and up,3.9,21.0,2018.0,1.0,4.0,1,3,0,15
Beauty Selfie Camera,BEAUTY,2225,52M,500000.0,Free,0,Everyone,Beauty,28-Feb-18,1.6,4.1 and up,4.2,52.0,2018.0,1.6,4.1,1,3,0,15
Filters for Selfie,BEAUTY,8572,25M,1000000.0,Free,0,Everyone,Beauty,10-May-18,1.1.0,4.0 and up,4.3,25.0,2018.0,1.1,4.0,1,3,0,15
Sweet Selfie Beauty Camera,BEAUTY,601,35M,100000.0,Free,0,Everyone,Beauty,2-Jun-18,2.0.0,4.0 and up,4.3,35.0,2018.0,2.0,4.0,1,3,0,15
Eyes Makeup Beauty Tips,BEAUTY,30,2.9M,10000.0,Free,0,Everyone,Beauty,9-Apr-18,3.3.9,4.0.3 and up,4.2,2.9,2018.0,3.3,4.0,1,3,0,15
Photo Editor 2018,BEAUTY,134,17M,10000.0,Free,0,Everyone,Beauty,1-Mar-18,1.2,4.0.3 and up,4.5,17.0,2018.0,1.2,4.0,1,3,0,15
Step By Step Eyes Makeup Tutorial,BEAUTY,74,2.9M,10000.0,Free,0,Everyone,Beauty,5-Apr-18,2.3.09,4.0.3 and up,4.4,2.9,2018.0,2.3,4.0,1,3,0,15
Mirror Camera (Mirror + Selfie Camera),BEAUTY,9315,2.6M,1000000.0,Free,0,Everyone,Beauty,21-Nov-17,1.4.2,4.0 and up,4.1,2.6,2017.0,1.4,4.0,1,3,0,15
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,26834,57M,1000000.0,Free,0,Everyone,Beauty,24-Jul-18,18.5,5.0 and up,4.5,57.0,2018.0,18.5,5.0,1,3,0,15
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,2277,22M,500000.0,Free,0,Everyone,Beauty,12-Jul-18,1.1.0,4.0.3 and up,3.9,22.0,2018.0,1.1,4.0,1,3,0,15
Filters for B Live,BEAUTY,2280,24M,500000.0,Free,0,Everyone,Beauty,14-May-18,1.1.0,4.0 and up,4.4,24.0,2018.0,1.1,4.0,1,3,0,15
Facial Wrinkle Reduction,BEAUTY,184,21M,10000.0,Free,0,Everyone,Beauty,2-Jul-18,1.5,4.1 and up,4.6,21.0,2018.0,1.5,4.1,1,3,0,15
Discover Color,BEAUTY,364,6.4M,100000.0,Free,0,Everyone,Beauty,24-May-18,1.1,4.0.3 and up,4.0,6.4,2018.0,1.1,4.0,1,3,0,15
Eyeliner step by step 2018,BEAUTY,18,3.2M,5000.0,Free,0,Everyone,Beauty,1-Jun-18,1.2.13,4.0.3 and up,4.3,3.2,2018.0,1.2,4.0,1,3,0,15
Dresses Ideas & Fashions +3000,BEAUTY,473,8.2M,100000.0,Free,0,Mature 17+,Beauty,1-Mar-17,1.0.2.0,1.6 and up,4.5,8.2,2017.0,1.0,1.6,1,3,0,15
Step By Step Hairstyles For Women,BEAUTY,66,2.9M,10000.0,Free,0,Everyone,Beauty,5-Apr-18,3.1.89,4.0.3 and up,4.1,2.9,2018.0,3.1,4.0,1,3,0,15
Rainbow Camera,BEAUTY,3871,23M,1000000.0,Free,0,Everyone,Beauty,30-Jul-18,2.2.0,4.0 and up,3.7,23.0,2018.0,2.2,4.0,1,3,0,15
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,1857,4.9M,50000.0,Free,0,Everyone,Books & Reference,3-Aug-18,1.3.2,4.4 and up,4.5,4.9,2018.0,1.3,4.4,1,4,0,19
Download free book with green book,BOOKS_AND_REFERENCE,4478,9.5M,100000.0,Free,0,Everyone 10+,Books & Reference,31-Jul-17,1.1,4.0 and up,4.6,9.5,2017.0,1.1,4.0,1,4,0,19
Free Panda Radio Music,BOOKS_AND_REFERENCE,418,4.2M,100000.0,Free,0,Everyone,Books & Reference,27-Mar-18,2.1,4.1 and up,4.5,4.2,2018.0,2.1,4.1,1,4,0,19
Book store,BOOKS_AND_REFERENCE,22486,5.4M,1000000.0,Free,0,Teen,Books & Reference,6-Jun-18,3.2.1,4.0 and up,4.4,5.4,2018.0,3.2,4.0,1,4,0,19
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,116507,5.0M,1000000.0,Free,0,Teen,Books & Reference,1-Aug-18,2.0.075,4.0.3 and up,4.8,5.0,2018.0,2.0,4.0,1,4,0,19
AlReader -any text book reader,BOOKS_AND_REFERENCE,90468,5.9M,5000000.0,Free,0,Everyone,Books & Reference,27-May-18,1.91180527,2.3 and up,4.6,5.9,2018.0,1.91180527,2.3,1,4,0,19
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,363934,7.1M,10000000.0,Free,0,Everyone,Books & Reference,11-Jul-18,9.1.363,4.1 and up,4.1,7.1,2018.0,9.1,4.1,1,4,0,19
FamilySearch Tree,BOOKS_AND_REFERENCE,17506,17M,1000000.0,Free,0,Everyone,Books & Reference,20-Jul-18,2.3.18,4.1 and up,4.3,17.0,2018.0,2.3,4.1,1,4,0,19
Cloud of Books,BOOKS_AND_REFERENCE,1862,19M,1000000.0,Free,0,Everyone,Books & Reference,27-Apr-18,2.2.5,4.1 and up,3.3,19.0,2018.0,2.2,4.1,1,4,0,19
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,47303,21M,1000000.0,Free,0,Everyone,Books & Reference,2-Jun-18,18.05.31+530,4.1 and up,4.8,21.0,2018.0,18.05,4.1,1,4,0,19
Ebook Reader,BOOKS_AND_REFERENCE,85842,37M,5000000.0,Free,0,Everyone,Books & Reference,25-Jun-18,5.0.6,4.0 and up,4.1,37.0,2018.0,5.0,4.0,1,4,0,19
Read books online,BOOKS_AND_REFERENCE,91615,23M,5000000.0,Free,0,Mature 17+,Books & Reference,29-Jun-18,3.12,4.1 and up,4.1,23.0,2018.0,3.12,4.1,1,4,0,19
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,21336,23M,1000000.0,Free,0,Everyone,Books & Reference,20-Jun-18,1.28,3.0 and up,4.7,23.0,2018.0,1.28,3.0,1,4,0,19
English Persian Dictionary,BOOKS_AND_REFERENCE,26875,73M,500000.0,Free,0,Everyone,Books & Reference,1-Aug-18,6.0.8,4.0.3 and up,4.5,73.0,2018.0,6.0,4.0,1,4,0,19
Flybook,BOOKS_AND_REFERENCE,1778,4.9M,500000.0,Free,0,Mature 17+,Books & Reference,16-Oct-14,1.0.3,2.1 and up,3.9,4.9,2014.0,1.0,2.1,1,4,0,19
All Maths Formulas,BOOKS_AND_REFERENCE,2709,6.8M,1000000.0,Free,0,Everyone,Books & Reference,11-Jul-18,1.9,4.4 and up,4.4,6.8,2018.0,1.9,4.4,1,4,0,19
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,1065,2.3M,500000.0,Free,0,Everyone,Books & Reference,16-Jun-18,1.5,3.0 and up,4.6,2.3,2018.0,1.5,3.0,1,4,0,19
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,51269,6.1M,1000000.0,Free,0,Everyone,Books & Reference,19-Jul-18,7.0.4.6,4.2 and up,4.4,6.1,2018.0,7.0,4.2,1,4,0,19
All Language Translator Free,BOOKS_AND_REFERENCE,30105,2.1M,1000000.0,Free,0,Everyone,Books & Reference,29-Jul-18,1.15,4.0.3 and up,4.4,2.1,2018.0,1.15,4.0,1,4,0,19
Azpen eReader,BOOKS_AND_REFERENCE,156,42M,500000.0,Free,0,Everyone,Books & Reference,15-Feb-18,3.1.7.9,2.2 and up,3.5,42.0,2018.0,3.1,2.2,1,4,0,19
English Dictionary - Offline,BOOKS_AND_REFERENCE,341157,30M,10000000.0,Free,0,Everyone 10+,Books & Reference,20-Mar-18,3.9.1,4.2 and up,4.4,30.0,2018.0,3.9,4.2,1,4,0,19
OfficeSuite : Free Office + PDF Editor,BUSINESS,1002861,35M,100000000.0,Free,0,Everyone,Business,2-Aug-18,9.7.14188,4.1 and up,4.3,35.0,2018.0,9.7,4.1,1,5,0,22
Job Search by ZipRecruiter,BUSINESS,148945,25M,1000000.0,Free,0,Everyone,Business,19-Jul-18,5.2.8,5.0 and up,4.8,25.0,2018.0,5.2,5.0,1,5,0,22
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4458,3.9M,500000.0,Free,0,Everyone,Business,8-Jul-18,3.3,4.1 and up,4.5,3.9,2018.0,3.3,4.1,1,5,0,22
Google Primer,BUSINESS,62272,18M,10000000.0,Free,0,Everyone,Business,26-Jun-18,3.550.2,4.1 and up,4.4,18.0,2018.0,3.55,4.1,1,5,0,22
Alba Heaven - Alvarez Job Portal Services,BUSINESS,8941,12M,5000000.0,Free,0,Everyone,Business,31-Jul-18,4.6.30,4.0.3 and up,4.0,12.0,2018.0,4.6,4.0,1,5,0,22
SuperLivePro,BUSINESS,46353,21M,1000000.0,Free,0,Everyone,Business,13-Apr-16,2.8,1.5 and up,4.3,21.0,2016.0,2.8,1.5,1,5,0,22
Polaris Office for LG,BUSINESS,30847,55M,5000000.0,Free,0,Everyone,Business,8-Feb-18,7.3.21,4.1 and up,4.2,55.0,2018.0,7.3,4.1,1,5,0,22
Call Blocker,BUSINESS,188841,3.2M,5000000.0,Free,0,Everyone,Business,21-Jun-18,1.1.13,4.0 and up,4.6,3.2,2018.0,1.1,4.0,1,5,0,22
Kariyer.net,BUSINESS,45964,16M,1000000.0,Free,0,Everyone,Business,18-Jul-18,5.1.5,4.1 and up,3.9,16.0,2018.0,5.1,4.1,1,5,0,22
Become a Job - Find a job or advertise,BUSINESS,6903,14M,1000000.0,Free,0,Everyone,Business,10-Jul-18,2.3.6,4.1 and up,4.1,14.0,2018.0,2.3,4.1,1,5,0,22
ZOOM Cloud Meetings,BUSINESS,31614,37M,10000000.0,Free,0,Everyone,Business,20-Jul-18,4.1.28165.0716,4.0 and up,4.4,37.0,2018.0,4.1,4.0,1,5,0,22
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,207372,11M,5000000.0,Free,0,Everyone,Business,2-Aug-18,12.2.4,4.0 and up,4.5,11.0,2018.0,12.2,4.0,1,5,0,22
ViettelPost express delivery,BUSINESS,1225,25M,100000.0,Free,0,Everyone,Business,1-Aug-18,1.0.6.8,4.1 and up,4.4,25.0,2018.0,1.0,4.1,1,5,0,22
MyASUS - Service Center,BUSINESS,380837,7.3M,10000000.0,Free,0,Everyone,Business,4-Jul-18,3.4.5,4.2 and up,4.4,7.3,2018.0,3.4,4.2,1,5,0,22
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,74359,25M,1000000.0,Free,0,Everyone,Business,27-Jul-18,1.12.5,4.0 and up,4.4,25.0,2018.0,1.12,4.0,1,5,0,22
sABN,BUSINESS,2287,1.5M,1000000.0,Free,0,Everyone,Business,26-Mar-18,4.9,2.2 and up,4.4,1.5,2018.0,4.9,2.2,1,5,0,22
ATI Cargoes and Transportation,BUSINESS,4162,7.5M,100000.0,Free,0,Everyone,Business,24-Jul-18,0.9.4,4.0.3 and up,4.7,7.5,2018.0,0.9,4.0,1,5,0,22
Secure Folder,BUSINESS,14760,8.6M,50000000.0,Free,0,Everyone,Business,31-Jan-18,1.1.07.6,7.0 and up,3.8,8.6,2018.0,1.1,7.0,1,5,0,22
Tiny Scanner - PDF Scanner App,BUSINESS,286897,39M,10000000.0,Free,0,Everyone,Business,30-May-17,1.2.6,3.0 and up,4.7,39.0,2017.0,1.2,3.0,1,5,0,22
TurboScan: scan documents and receipts in PDF,BUSINESS,11442,6.8M,100000.0,Paid,4.99,Everyone,Business,25-Mar-18,1.5.2,4.0 and up,4.7,6.8,2018.0,1.5,4.0,0,5,69,22
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,10295,39M,100000.0,Paid,4.99,Everyone,Business,11-Apr-17,3.4.6,3.0 and up,4.8,39.0,2017.0,3.4,3.0,0,5,69,22
Zenefits,BUSINESS,296,14M,50000.0,Free,0,Everyone,Business,15-Jun-18,3.2.1,4.1 and up,4.2,14.0,2018.0,3.2,4.1,1,5,0,22
Google Ads,BUSINESS,29313,20M,5000000.0,Free,0,Everyone,Business,30-Jul-18,1.12.0,4.0.3 and up,4.3,20.0,2018.0,1.12,4.0,1,5,0,22
FreshBooks Classic,BUSINESS,1802,26M,100000.0,Free,0,Everyone,Business,18-Apr-18,1.7.14,4.2 and up,4.1,26.0,2018.0,1.7,4.2,1,5,0,22
Insightly CRM,BUSINESS,1383,51M,100000.0,Free,0,Everyone,Business,12-Jul-18,3.24.1,5.0 and up,3.8,51.0,2018.0,3.24,5.0,1,5,0,22
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,23175,41M,1000000.0,Free,0,Everyone,Business,13-Jul-18,18.7,4.1 and up,4.3,41.0,2018.0,18.7,4.1,1,5,0,22
"MailChimp - Email, Marketing Automation",BUSINESS,5448,12M,500000.0,Free,0,Everyone,Business,25-Jul-18,4.9.1,5.0 and up,4.1,12.0,2018.0,4.9,5.0,1,5,0,22
Crew - Free Messaging and Scheduling,BUSINESS,4159,48M,500000.0,Free,0,Everyone,Business,20-Jul-18,6.1.2,4.0.3 and up,4.6,48.0,2018.0,6.1,4.0,1,5,0,22
Asana: organize team projects,BUSINESS,20815,10M,1000000.0,Free,0,Everyone,Business,26-Jul-18,6.4.4,5.0 and up,4.3,10.0,2018.0,6.4,5.0,1,5,0,22
Google Analytics,BUSINESS,78662,22M,1000000.0,Free,0,Everyone,Business,13-Feb-18,3.7.5,4.4 and up,4.5,22.0,2018.0,3.7,4.4,1,5,0,22
Accounting App - Zoho Books,BUSINESS,3079,8.5M,100000.0,Free,0,Everyone,Business,2-Aug-18,5.20.7,4.1 and up,4.5,8.5,2018.0,5.2,4.1,1,5,0,22
Invoice & Time Tracking - Zoho,BUSINESS,5800,8.6M,100000.0,Free,0,Everyone,Business,2-Aug-18,5.20.7,4.1 and up,4.6,8.6,2018.0,5.2,4.1,1,5,0,22
Invoice 2go — Professional Invoices and Estimates,BUSINESS,16422,28M,1000000.0,Free,0,Everyone,Business,1-Aug-18,10.46.2,4.1 and up,4.2,28.0,2018.0,10.46,4.1,1,5,0,22
Cisco Webex Meetings,BUSINESS,108741,28M,10000000.0,Free,0,Everyone,Business,20-Jul-18,11.1.0,4.3 and up,4.4,28.0,2018.0,11.1,4.3,1,5,0,22
ScreenMeet. Easy Phone Meeting,BUSINESS,624,9.0M,100000.0,Free,0,Everyone,Business,22-Mar-18,1.2.287,5.0 and up,4.0,9.0,2018.0,1.2,5.0,1,5,0,22
Start Meeting,BUSINESS,308,14M,50000.0,Free,0,Everyone,Business,29-May-18,3.1.4.0,4.0.3 and up,4.1,14.0,2018.0,3.1,4.0,1,5,0,22
ClickMeeting Webinars,BUSINESS,5211,26M,1000000.0,Free,0,Everyone,Business,30-Jul-18,3.3.0,4.0 and up,3.8,26.0,2018.0,3.3,4.0,1,5,0,22
BlueJeans for Android,BUSINESS,1058,23M,500000.0,Free,0,Everyone,Business,29-Jun-18,2.22.397,5.0 and up,3.9,23.0,2018.0,2.22,5.0,1,5,0,22
Zenefits,BUSINESS,296,14M,50000.0,Free,0,Everyone,Business,15-Jun-18,3.2.1,4.1 and up,4.2,14.0,2018.0,3.2,4.1,1,5,0,22
Google Ads,BUSINESS,29313,20M,5000000.0,Free,0,Everyone,Business,30-Jul-18,1.12.0,4.0.3 and up,4.3,20.0,2018.0,1.12,4.0,1,5,0,22
FreshBooks Classic,BUSINESS,1802,26M,100000.0,Free,0,Everyone,Business,18-Apr-18,1.7.14,4.2 and up,4.1,26.0,2018.0,1.7,4.2,1,5,0,22
Insightly CRM,BUSINESS,1383,51M,100000.0,Free,0,Everyone,Business,12-Jul-18,3.24.1,5.0 and up,3.8,51.0,2018.0,3.24,5.0,1,5,0,22
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,23175,41M,1000000.0,Free,0,Everyone,Business,13-Jul-18,18.7,4.1 and up,4.3,41.0,2018.0,18.7,4.1,1,5,0,22
HipChat - Chat Built for Teams,BUSINESS,5868,20M,500000.0,Free,0,Everyone,Business,3-Jul-18,3.19.005,4.1 and up,3.8,20.0,2018.0,3.19,4.1,1,5,0,22
"MailChimp - Email, Marketing Automation",BUSINESS,5448,12M,500000.0,Free,0,Everyone,Business,25-Jul-18,4.9.1,5.0 and up,4.1,12.0,2018.0,4.9,5.0,1,5,0,22
Asana: organize team projects,BUSINESS,20815,10M,1000000.0,Free,0,Everyone,Business,26-Jul-18,6.4.4,5.0 and up,4.3,10.0,2018.0,6.4,5.0,1,5,0,22
AdWords Express,BUSINESS,7149,11M,1000000.0,Free,0,Everyone,Business,31-Jul-18,2.6.158,4.0 and up,4.1,11.0,2018.0,2.6,4.0,1,5,0,22
